Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,522.585360,447.522680,409.723852,390.743478
Inlet,208.503287,113.574011,149.717777,90.820128
Canopy,60.700593,23.416766,28.720351,12.338615
Totals,791.789240,584.513457,588.161979,493.902221
